,initial_possession
Folarin Balogun,0
Ben White,0
Zach Awe,0
Takehiro Tomiyasu,23
Emile Smith Rowe,3
Martin Ødegaard,16
Granit Xhaka,19
Mohamed Elneny,17
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,0
Kieran Tierney,0
Nuno Tavares,36
Cédric Soares,4
Zak Swanson,0
Aaron Ramsdale,14
Gabriel Martinelli,19
Bukayo Saka,22
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,0
Eddie Nketiah,20
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,12
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,34
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
