,initial_possession
Neal Maupay,6
Jeremy Sarmiento,0
Alexis Mac Allister,7
Adam Lallana,10
Odeluga Offiah,0
Ed Turns,0
Adam Webster,7
Marc Leonard,0
Solly March,14
Lewis Dunk,27
Jürgen Locadia,0
Marc Cucurella,40
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,17
Tom McGill,0
Pascal Groß,0
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,11
Jakub Moder,0
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,0
Robert Sánchez,11
Enock Mwepu,8
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,14
Yves Bissouma,21
Joël Veltman,26
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
